time_s,E,C,Psi,H_e,H_c,M_r
0.0,0.5333623837276387,0.7371639818204664,0.5,0.0,0.0,0.21033223863603867
0.01,0.6009056524587986,0.6922266351967814,0.50025,0.0003984162119874905,-0.0025550824771836222,0.21268482774441022
0.02,0.5840822501870793,0.7100472671912031,0.500499375,0.0006059075122841147,-0.0041301903462811,0.21287702005841524
0.03,0.5665011855298535,0.6994961184018971,0.5007481265625,-0.0013312792925542637,-0.0059302097430993525,0.21210370246151683
0.04,0.5272466025398781,0.6858737572189018,0.5009962562460938,-0.0008663265172922969,-0.006414738804931093,0.2092480411885148
0.05,0.6235899572764082,0.694200413227761,0.5012437656054786,-0.0013651123444620675,-0.007632235521897989,0.21557454172663604
0.06,0.5779625232919003,0.6884433821103159,0.5014906561914648,-0.0031212376588779156,-0.010083612785092644,0.2134970738514113
0.07,0.6088892482141748,0.6868121048210897,0.5017369295509861,-0.0029272648975351575,-0.010677988526864047,0.21530817624498122
0.08,0.6220583119201485,0.7003763570406051,0.5019825872271086,-0.00345899142620558,-0.010343075523152485,0.21684964635760667
0.09,0.6098940101642114,0.703338952269382,0.5022276307590409,-0.0038412398753024076,-0.011754941532786584,0.21666613757644376
0.1,0.5953130178753298,0.6884387232523119,0.5024720616821433,-0.0025630906115312025,-0.012977478047122858,0.21505687725366723
0.11,0.6211443384150351,0.6561399359786654,0.502715881527938,-0.004215382537842293,-0.014822607809166988,0.21559406168517053
0.12,0.6171052590406496,0.697170042377144,0.5029590918241181,-0.004302851979390595,-0.016762714020822262,0.21795224507592326
0.13,0.6196021547883788,0.6844260789094789,0.5032016940945578,-0.005005170617017718,-0.018498370632106496,0.2179469881790902
0.14,0.5522095953287224,0.6922651659274509,0.5034436898593214,-0.00541839547859744,-0.021377275586569586,0.21509256589290465
0.15,0.5901089452865897,0.7508947491053254,0.5036850806346731,-0.006830835497700149,-0.023045903494689775,0.2209287557334429
0.16,0.5816877255324093,0.6875131678552672,0.5039258679330865,-0.0093975785581785,-0.026629589294132398,0.21851228701946646
0.17,0.6902125460564578,0.6800798141064109,0.5041660532632537,-0.012319763131542543,-0.0290034966097609,0.22563215826781924
0.18,0.5823183109104895,0.7177513839534923,0.5044056381300955,-0.013700933416188553,-0.029763129079204798,0.2216335440406702
0.19,0.6401058465413112,0.7237237894279482,0.5046446240347703,-0.015702386089153506,-0.03022466877606717,0.22610319819665986
0.2,0.5520734482251376,0.7074554583963518,0.5048830124746834,-0.019125833168077797,-0.03273430090744875,0.22105061836571394
0.21,0.5906440833720731,0.7021377335784494,0.5051208049434966,-0.020021211258545734,-0.03468797468952883,0.2237503037708622
0.22,0.5597737032004979,0.7282599296712686,0.5053580029311379,-0.021504150398961513,-0.038092985117110525,0.22417747379224312
0.23,0.6086684891306212,0.6953087464322326,0.5055946079238101,-0.022301015213035378,-0.040681051813377965,0.2262637576585403
0.24,0.6574052372679093,0.6868675194748362,0.5058306214040005,-0.02388215485437822,-0.042845832349356086,0.22956878890812155
0.25,0.5763772536845536,0.7341992443454517,0.5060660448504904,-0.025430759924906347,-0.04462917266827084,0.2277923735733074
0.26,0.6269392069471368,0.6443861029261577,0.5063008797383642,-0.02677983733324588,-0.04707733290786713,0.22692838592515818
0.27,0.6266094767168233,0.6746152599720163,0.5065351275390183,-0.02806822809803924,-0.04850054556097185,0.22917040949166934
0.28,0.6227090083390608,0.693140758063694,0.5067687897201708,-0.030722762564347854,-0.051075306407953075,0.23109169788303047
0.29,0.5968354114170673,0.6805126987590846,0.5070018677458704,-0.03177937792315226,-0.05437926667746722,0.2297818588030418
0.3,0.5990942805363888,0.6509934412333735,0.5072343630765057,-0.03346830832032262,-0.056449547661489796,0.22917245559620758
0.31,0.6079440018007493,0.6793969548307858,0.5074662771688144,-0.0355666444304617,-0.05792500111225647,0.23199669034751652
0.32,0.6102079188389888,0.7178148156240174,0.5076976114758924,-0.03712419934064019,-0.06055198712691465,0.23515230176602608
0.33,0.6088155955345498,0.645138542031246,0.5079283674472027,-0.03722649909956818,-0.06260212453883877,0.2315876707684818
0.34,0.6276101922467654,0.5846201828877265,0.5081585465285847,-0.03825760945275432,-0.06370359226473671,0.22976790624285032
0.35000000000000003,0.6005703355596208,0.6953846245449863,0.5083881501622632,-0.03901743683844254,-0.06646276580875524,0.23506519714348967
0.36,0.6208862594988837,0.6885047005436391,0.5086171797868576,-0.03949996533590106,-0.06917841100399849,0.23666569480192046
0.37,0.6137385240024249,0.664060637596058,0.5088456368373905,-0.039090224090178795,-0.07118334359728146,0.23523549981142855
0.38,0.5710775827911246,0.6415788088175423,0.509073522745297,-0.039529819676587,-0.07551078669902966,0.23259238943651173
0.39,0.5773806326804201,0.6773467007624933,0.5093008389384338,-0.038391539106640185,-0.07734924706373185,0.2349750866364932
0.4,0.6219946003616414,0.6729266311412059,0.5095275868410877,-0.03907205238219666,-0.07983111998072996,0.2381614709678448
0.41000000000000003,0.6196279760252197,0.725640342474939,0.509753767873985,-0.03766933757902835,-0.08248423807757722,0.24128690512752826
0.42,0.6376889852296944,0.6743111508886717,0.5099793834543,-0.037945726798445475,-0.08339097811256527,0.2397742510204252
0.43,0.5382888748243323,0.6823649183866611,0.5102044349956643,-0.03816037807825889,-0.0862640103917807,0.23479239174841365
0.44,0.6238708118544237,0.6876167172575374,0.5104289239081751,-0.037627015840573125,-0.08790158759142991,0.2406405512340013
0.45,0.5332053691392429,0.6979380598574354,0.5106528515984047,-0.03832981121959889,-0.09092466209852043,0.23631175012834982
0.46,0.6040146106058143,0.6952312314849715,0.5108762194694086,-0.03816156011646698,-0.09216478838321329,0.24090631781762234
0.47000000000000003,0.5314020007989888,0.7022941242672275,0.5110990289207351,-0.03811008115856396,-0.0949468442280216,0.23727212529807
0.48,0.6463892890888336,0.6929458187616045,0.5113212813484332,-0.03841626302009473,-0.09586201887459647,0.24438987348603125
0.49,0.5802964229120351,0.7127335332618914,0.5115429781450621,-0.03827673611899461,-0.09823637828015608,0.24174686486866703
0.5,0.6714176224080327,0.7175041523595652,0.5117641206996995,-0.03881030545445533,-0.10152019133629119,0.24892374513763493
0.51,0.6126057542053143,0.6999647666689008,0.5119847103979502,-0.04017475976248465,-0.10363446452174302,0.24479889236724506
0.52,0.6317173670057885,0.6672969330980576,0.5122047486219553,-0.04156356754170467,-0.10625047032873917,0.24503673558146538
0.53,0.62374286294903,0.6949679432363576,0.5124242367504004,-0.04166720905723291,-0.1078150571641829,0.24653469893120383
0.54,0.6605839530775436,0.6738901815551162,0.5126431761585244,-0.041948939290979766,-0.10857478930195773,0.24787440851673914
0.55,0.6058856067567958,0.7537757074164654,0.5128615682181281,-0.044098183170684965,-0.10885241464032687,0.24951712654019093
0.56,0.57264140597957,0.6453956801851642,0.5130794142975827,-0.045704475298031094,-0.11111100621158723,0.24231976026388646
0.5700000000000001,0.5714342218218252,0.7317876047692218,0.5132967157618388,-0.04730817811098783,-0.11264860105254657,0.24752969700992739
0.58,0.5796130102015102,0.7213559221348701,0.5135134739724342,-0.04681827080019323,-0.11395701552232017,0.24772718153965262
0.59,0.6088250091824186,0.6867865388203858,0.5137296902875031,-0.04616877737979503,-0.11669687302453433,0.248217501813921
0.6,0.61788153372914,0.7331747741543214,0.5139453660617844,-0.04679499841875996,-0.11775264143426763,0.25188684696853125
0.61,0.5996958332443996,0.742077241290878,0.5141605026466299,-0.0483625802409079,-0.12122885308120813,0.25229463435608135
0.62,0.6122526193356227,0.7001215784762781,0.5143751013900134,-0.04880290712585811,-0.12197327014426661,0.25104116296688306
0.63,0.6543007602634351,0.7633937082187185,0.5145891636365384,-0.04814879813587666,-0.12419945883122432,0.25814072828245344
0.64,0.5547627081098553,0.7201478907271938,0.514802690727447,-0.04921115077289889,-0.12705296414906905,0.2495829448195197
0.65,0.5914005082254469,0.6369496168102263,0.5150156840006284,-0.0492827683098942,-0.13026896769820875,0.2482074350888434
0.66,0.6388459055215273,0.6565873123637398,0.5152281447906268,-0.0508617324444356,-0.13288374727998256,0.2531893592654024
0.67,0.5761911558970466,0.7060721023157782,0.5154400744286503,-0.05305762763541752,-0.13695161453072638,0.25343707800297316
0.68,0.6394203645435638,0.6867178994881089,0.5156514742425786,-0.05360286227852277,-0.14024181253222567,0.2574008786054161
0.6900000000000001,0.5956576957725999,0.7093312604019302,0.5158623455569722,-0.05451443211762297,-0.14293409568167745,0.25666349310428627
0.7000000000000001,0.5909676771072795,0.684573317228939,0.5160726896930797,-0.05504490499647575,-0.1452278997435466,0.2556184874316477
0.71,0.6028222574475699,0.6711486958401546,0.516282507968847,-0.058193204190527155,-0.14887218646257097,0.2571947546312189
0.72,0.6139259155449627,0.7131693993989434,0.5164918016989248,-0.0580182362651097,-0.15160534721288357,0.2609954868724799
0.73,0.5986163726561975,0.7122583538810516,0.5167005721946776,-0.05802202580844576,-0.1524204562516655,0.2601006135981203
0.74,0.6545630680997314,0.7050768461494175,0.5169088207641909,-0.057205692086081984,-0.15410748434842872,0.26371994157215106
0.75,0.5982677347547611,0.6884036302872889,0.5171165487122804,-0.05799806735310179,-0.15686987408011174,0.2597656287340867
0.76,0.6450957701545916,0.7317245165143432,0.5173237573404997,-0.057802984793562155,-0.15982268519717038,0.2662597350029947
0.77,0.6422951714300023,0.7022131897871232,0.5175304479471485,-0.061589113742564254,-0.16216070286444817,0.2656643335604968
0.78,0.6033754084817007,0.699874682392291,0.5177366218272806,-0.06272264971782188,-0.16386261004149127,0.263550145313254
0.79,0.6514386485930685,0.7952431124396304,0.5179422802727124,-0.06360255226186946,-0.16426091943526905,0.2732732481085538
0.8,0.665052647275448,0.6176910862050926,0.5181474245720306,-0.0663542099862345,-0.1655073089329966,0.2637038697278662
0.81,0.6295247572702769,0.65014706193005,0.5183520560106005,-0.06742589993740877,-0.16821870479303755,0.26445894954992094
