time_h,D,E,C,H_e,M_t
0.0,3.0128305339589043e-27,0.40557492248509247,0.7587821485462073,0.0,0.0010720730501414806
0.01,2.9679753354555498e-06,0.45052085871246444,0.7462680632736404,0.0008064399225251313,0.002157946274365718
0.02,2.3390303515237335e-05,0.43922744176480005,0.7753487705501194,0.001140282555802956,0.0032456808177281286
0.03,7.776697701532429e-05,0.42743882652532644,0.7524127789086464,0.0011676125368847764,0.004323522059908718
0.04,0.00018159212459764837,0.4012156314570153,0.7262231516064528,0.0010574615915544601,0.005385896467395467
0.05,0.00034939173843560634,0.4654097339869409,0.7645350144787698,0.0015854431510953482,0.006481081441055393
0.06,0.0005947602735713807,0.4349792848387927,0.7643822628631942,0.0019551140760125014,0.00756362071448501
0.07,0.0009303961491527113,0.45561128944204793,0.7456195706453831,0.0016340155901444187,0.008650314317410805
0.08,0.0013681361801942166,0.4644346567569254,0.7397652442662356,0.0019046952075705988,0.009738693768168204
0.09,0.0019189889679215432,0.45640213143202446,0.7658554293905983,0.002076925427273655,0.01082998313106124
0.1,0.0025931672760851456,0.4467944787786871,0.7911361944164133,0.0023374102407950573,0.011923016676222913
0.11,0.0034001194199740994,0.4641671267646571,0.7039421096839763,0.002136099674794066,0.013002350759409618
0.12,0.004348559694218653,0.4616674785308745,0.7659193065221802,0.002717467958681335,0.014094984907382055
0.13,0.00544649786484295,0.46356879024858966,0.7522969221010609,0.002980136238787601,0.015184754575367693
0.14,0.0067012677504161185,0.41892291735900977,0.7529357133186477,0.003214850487835251,0.016256919427437896
0.15,0.008119554916550684,0.44451938953080694,0.7446898515102675,0.003573857267562635,0.017336735199154903
0.16,0.009707423507411191,0.4392849926799183,0.7400603957784879,0.0037467290331469477,0.018413264242661292
0.17,0.011470342237323424,0.5120657317998544,0.7718416907531046,0.003849151835761792,0.019526475371402754
0.18,0.013413209565014815,0.4406196415984759,0.7590966549783462,0.004514785035131403,0.0206069396850214
0.19,0.015540378072469581,0.47968187916407945,0.7637977193290262,0.005318450459933588,0.021703094849821795
0.2,0.01785567806984741,0.42158576180627316,0.7464232577606686,0.006305508950244877,0.022771157262039078
0.21,0.02036244044739193,0.4479475759239743,0.7685129076484459,0.007263107266522229,0.023853372740968708
0.22,0.023063518794744758,0.42807212457300403,0.7144235787231268,0.007573174657599194,0.024915362097933262
0.23,0.025961310807581166,0.4614308979719287,0.7697667451281758,0.008138482064759036,0.026002214564246458
0.24,0.02905777900099642,0.4947423358656201,0.7152324293510073,0.008690334110548911,0.02708769699385671
0.25,0.03235447074859475,0.44160243022417284,0.7567786751695853,0.00948888609303088,0.028161999161248306
0.26,0.03585253766576705,0.47624796591467483,0.7406672364054082,0.009864895620850724,0.029245472676976296
0.27,0.03955275435518859,0.4770247585686424,0.7521268008302588,0.009937059940318627,0.030332007965908264
0.28,0.04345553653212305,0.4754802295949061,0.764900787954303,0.010030779060966008,0.03142099455168279
0.29,0.04756095854668456,0.45934614367246607,0.7317858093753605,0.010340305155040407,0.03249527656225848
