psi0,S_group,Psi_final,H_e_final,M_r_final,time_to_M_gt_0p35_s
0.32,0.32,0.32,-0.7263011327123439,0.9105935291757079,1.99
0.68,0.68,0.68,-0.7081638322973242,0.9214173344275953,1.6
